2022-09-16	Task/worldpay integration 1 webhooks	Branch: task/worldpay-integration-1-webhooks	180	laravel,php,livewire,tailwind-css,payment-gateways,apis
2022-09-23	Homepage editor POC - sortable list	Branch: task/homepage-editor-poc-sortable	300	laravel,php,livewire,tailwind-css
2022-09-28	Worldpay Style tests and integration	Branch: task/worldpay-integration-1-styling	300	laravel,php,livewire,tailwind-css,tdd,payment-gateways,apis
2022-09-29	Demo homepage images	Branch: task/homepage-editor-2-images	300	laravel,php,livewire,tailwind-css
2022-10-20	My account v1	Branch: task/orders-1-myaccount	60	laravel,php,livewire,tailwind-css
2022-10-20	Payments and CSS refac	Branch: task/orders-1-payments	60	laravel,php,livewire,tailwind-css,payment-gateways,apis
2022-10-20	Order notes	Branch: task/orders-1-notes	60	laravel,php,livewire,tailwind-css
2022-10-20	Relations and Raw	Branch: task/orders-1-relations	60	laravel,php,livewire,tailwind-css
2022-10-20	Order Status tidying up	Branch: task/orders-1-status	60	laravel,php,livewire,tailwind-css
2022-10-20	Order CMS	Branch: task/orders-1-cms-orders	60	laravel,php,livewire,tailwind-css
2022-10-20	Address, Customer, Orders db	Branch: task/orders-1-basic-order	60	laravel,php,livewire,tailwind-css
2022-11-10	Site editor updates	Branch: task/mp/colour-editor-demo-1	420	laravel,php,livewire,tailwind-css
2022-11-16	Address features	Branch: task/mp/user-management-cms-address	60	laravel,php,livewire,tailwind-css
2022-11-16	Added customer notes	Branch: task/mp/user-management-cms-notes	60	laravel,php,livewire,tailwind-css
2022-11-16	Added customer orders table	Branch: task/mp/user-management-cms-orders	60	laravel,php,livewire,tailwind-css
2022-11-16	Customer save & clean up	Branch: task/mp/user-management-cms-save	60	laravel,php,livewire,tailwind-css
2022-11-16	Added page to view / edit customer	Branch: task/mp/user-management-cms-view	60	laravel,php,livewire,tailwind-css
2022-11-16	Added CMS index datatable	Branch: task/mp/user-management-cms-index	60	laravel,php,livewire,tailwind-css
2022-11-16	Updated customer table	Branch: task/mp/user-management-customers	60	laravel,php,livewire,tailwind-css
2022-11-23	Extra tests	Branch: task/mp/platform-admin-users-tests2	60	laravel,php,livewire,tailwind-css,tdd
2022-11-23	Fix super admin use	Branch: task/mp/platform-admin-users-updates	60	laravel,php,livewire,tailwind-css
2022-11-23	Tests 1 of 2	Branch: task/mp/platform-admin-users-tests	60	laravel,php,livewire,tailwind-css,tdd
2022-11-23	Task/mp/platform admin users edit	Branch: task/mp/platform-admin-users-edit	60	laravel,php,livewire,tailwind-css
2022-11-23	Fix old buttons	Branch: task/mp/platform-admin-users-css	60	laravel,php,livewire,tailwind-css
2022-11-23	Users index page	Branch: task/mp/platform-admin-users-index	60	laravel,php,livewire,tailwind-css
2022-11-24	Tests	Branch: task/mp/cms-users-tests	60	laravel,php,livewire,tailwind-css,tdd
2022-11-24	Auth updates	Branch: task/mp/cms-users-auth	60	laravel,php,livewire,tailwind-css
2022-11-24	Edit, delete	Branch: task/mp/cms-users-edit	60	laravel,php,livewire,tailwind-css
2022-11-24	Datatable / index	Branch: task/mp/cms-users-datatables	60	laravel,php,livewire,tailwind-css
2022-11-24	Basic setup	Branch: task/mp/cms-users-database	60	laravel,php,livewire,tailwind-css
2022-12-01	Task/mp/front end merge	Branch: task/mp/front-end-merge-header	360	laravel,php,livewire,tailwind-css
2022-12-07	Task/mp/pms merchants datatable	Branch: task/mp/pms-merchants-datatable	120	laravel,php,livewire,tailwind-css
2022-12-07	Routes and controller	Branch: task/mp/pms-merchants-setup	120	laravel,php,livewire,tailwind-css
2022-12-15	Merchant add and edit	Branch: task/mp/pms-merchants-crud	240	laravel,php,livewire,tailwind-css
2022-12-22	Hotfix view cache issue	Branch: task/mp/pms-merchants	120	laravel,php,livewire,tailwind-css
2022-12-22	Delete merchant	Branch: task/mp/pms-merchants-delete	120	laravel,php,livewire,tailwind-css
2023-01-03	Tidy stores code	Branch: task/mp/stores-update	180	laravel,php,livewire,tailwind-css
2023-01-03	Css fixes	Branch: task/mp/cms-products-css-fix	180	laravel,php,livewire,tailwind-css
2023-01-04	Force the seeder for production	Branch: task/mp/merchant-seed-fix	240	laravel,php,livewire,tailwind-css
2023-01-13	Contact page	Branch: task/mp/contact-page-1	60	laravel,php,livewire,tailwind-css
2023-01-13	Task/mp/email subscription mobile	Branch: task/mp/email-subscription-mobile	60	laravel,php,livewire,tailwind-css
2023-01-13	Front end UI	Branch: task/mp/email-subscription-ui-footer	60	laravel,php,livewire,tailwind-css
2023-01-13	Customer form	Branch: task/mp/email-subscription-cms-customer	60	laravel,php,livewire,tailwind-css
2023-01-13	CMS Datatable	Branch: task/mp/email-subscription-cms	60	laravel,php,livewire,tailwind-css
2023-01-13	Service provider / tests	Branch: task/mp/email-subscription-service	60	laravel,php,livewire,tailwind-css,tdd
